stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,trial.stopped,corrAns,tilt,key resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.025626900023780763,,0.008498699986375868,0.025626900023780763,0.5088253000285476,0.5088253000285476,0.5250205000047572,0.7325696999905631,left,-10.0,0,0,0.2159257999737747,,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
1,1,12.0,0.741753600013908,,0.7328043000306934,0.741753600013908,1.2417760000098497,1.2417760000098497,1.2417760000098497,1.542353600030765,right,12.0,1,1,0.29820049996487796,1.541897399991285,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
2,1,11.0,1.5580704000312835,,1.5425737000186928,1.5580704000312835,2.0587956000235863,2.0587956000235863,2.0587956000235863,2.4088838000316173,left,-11.0,1,1,0.34096450003562495,2.360499600006733,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
3,1,11.0,2.4251127000316046,,2.4091113000176847,2.4251127000316046,2.9076444000238553,2.9076444000238553,2.9262089999974705,3.408606000011787,right,11.0,1,1,0.49946750001981854,3.2083945000194944,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
4,1,11.0,3.424365399987437,,3.408775700023398,3.424365399987437,3.9081493000267074,3.9081493000267074,3.92524609999964,4.54113959998358,left,-11.0,0,0,0.6287509999820031,4.208360599994194,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
5,1,12.0,4.558023700024933,,4.5413147999788634,4.558023700024933,5.041334000008646,5.041334000008646,5.058179399988148,5.608132600027602,left,-12.0,1,1,0.5593731999979354,5.34140740003204,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
6,1,12.0,5.6249817999778315,,5.608307900023647,5.6249817999778315,6.107735200028401,6.107735200028401,6.123868399998173,6.6743432999937795,left,-12.0,0,0,0.5517681000055745,6.409065100015141,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
7,1,13.0,6.6906628999859095,,6.674565199995413,6.6906628999859095,7.175629800010938,7.175629800010938,7.191143399977591,7.841865000023972,right,13.0,1,1,0.6521405999665149,7.491053999983706,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
8,1,13.0,7.858080899983179,,7.8420691000064835,7.858080899983179,8.340179299993906,8.340179299993906,8.373732300009578,8.907935600029305,left,-13.0,1,1,0.5604438000009395,8.640276600024663,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
9,1,13.0,8.924688800005242,,8.908109300013166,8.924688800005242,9.423726700013503,9.423726700013503,9.44026770000346,9.957059299980756,left,-13.0,0,0,0.5329155999934301,9.723811500007287,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
10,1,14.0,9.973092600004748,,9.957243499986362,9.973092600004748,10.457783800025936,10.457783800025936,10.47433940001065,11.09034039999824,left,-14.0,0,0,0.6232239999808371,10.773555500025395,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
11,1,15.0,11.106502400012687,,11.090570300002582,11.106502400012687,11.607359500019811,11.607359500019811,11.607359500019811,12.208451699989382,right,15.0,1,1,0.5883908999967389,11.907658700016327,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
12,1,15.0,12.22335570002906,,12.208700100018177,12.22335570002906,12.72321969998302,12.72321969998302,12.72321969998302,13.307144700025674,left,-15.0,1,1,0.5670614000409842,13.022838299977593,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
13,0.5,15.0,13.323363400006201,,13.3074018000043,13.323363400006201,13.806304100027774,13.806304100027774,13.82320179999806,14.589948799984995,right,15.0,1,1,0.7676517000072636,14.1061492000008,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
14,0.5,14.5,14.607063200033735,,14.590124299982563,14.607063200033735,15.089409500011243,15.089409500011243,15.106431199994404,15.956870699999854,left,-14.5,0,0,0.8534843999659643,15.388757899985649,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
15,0.5,15.0,15.972582400019746,,15.957196499977726,15.972582400019746,16.456373399996664,16.456373399996664,16.472792499989737,17.106396200018935,right,15.0,1,1,0.6361035000300035,16.75642659998266,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
16,0.5,15.0,17.122640300018247,,17.106584199995268,17.122640300018247,17.62218180001946,17.62218180001946,17.62218180001946,18.206064800033346,left,-15.0,1,1,0.5671834999811836,17.922045800019987,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
17,0.5,15.0,18.22276710002916,,18.206242799991742,18.22276710002916,18.70521839999128,18.70521839999128,18.721966799988877,19.339181100018322,left,-15.0,0,0,0.6234645000076853,19.006054600002244,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
18,0.5,15.5,19.355325400014408,,19.33935919997748,19.355325400014408,19.83942490001209,19.83942490001209,19.85573040001327,20.53854420001153,right,15.5,1,1,0.6961076000006869,20.139042199996766,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
19,0.5,15.5,20.55592010001419,,20.538722300028894,20.55592010001419,21.038404099992476,21.038404099992476,21.054727600014303,21.872653700003866,right,15.5,1,1,0.8265512000070885,21.337884599983227,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
20,0.5,15.5,21.88874309998937,,21.87288580002496,21.88874309998937,22.389821399992798,22.389821399992798,22.389821399992798,23.23868800001219,right,15.5,1,1,0.846092400024645,22.704978000023402,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
21,0.5,15.0,23.25583540002117,,23.23886709997896,23.25583540002117,23.73797060002107,23.73797060002107,23.77128069999162,25.221360700030345,right,15.0,1,1,1.4821214000112377,24.038986300001852,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
22,0.5,15.0,25.237255799991544,,25.221555399999488,25.237255799991544,25.7216273000231,25.7216273000231,25.738072899985127,29.087206099997275,right,15.0,1,1,3.3571779999765567,26.020647700002883,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
23,0.5,15.0,29.103927200019825,,29.087380299984943,29.103927200019825,29.58816929999739,29.58816929999739,29.604264500027057,31.70335000002524,right,15.0,1,1,2.1012968000140972,29.888781799993012,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
